Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
210000000,3,940,224,627,0.5,-6529.694436,132.7635323,-0.1605296001,0.4808994593,7.32E-05,-3129613.945,6.49E-05,1.92E-05,yes
210000000,3,940,224,627,0.5,-13623.86328,137.3383466,-0.1042748046,0.5057975399,0.0001509332062,-6598104.175,6.87E-05,2.02E-05,yes
210000000,3,940,224,627,0.5,-10707.99709,136.8952489,-0.04567068508,0.5169729865,0.0001172002465,-5171771.936,7.11E-05,2.08E-05,yes
210000000,3,940,224,627,0.5,3405.645146,137.1446181,0.01395820365,0.5159969026,-3.68E-05,1733263.094,7.05E-05,2.06E-05,yes
210000000,3,940,224,627,0.5,25897.89525,136.7749765,0.073235515,0.5094696962,-0.0002767858713,12737118.5,6.85E-05,2.04E-05,yes
210000000,3,940,224,627,0.5,12086.27814,135.6976782,0.1308472624,0.4981422828,-0.0001276710724,5979440.224,6.51E-05,1.99E-05,yes
210000000,3,940,224,627,0.5,-33017.34426,131.938818,0.1855176398,0.4798408381,0.0003447634823,-16088750.22,6.38E-05,1.92E-05,yes
210000000,3,940,224,627,0.5,-188810.7755,106.8987253,0.2361548909,0.4300056185,0.0019491375,-92320879.04,6.00E-05,1.72E-05,yes
210000000,3,940,224,627,0.5,-173255.366,81.17099406,0.2814952208,0.3597276508,0.001768459266,-84723187.36,5.77E-05,1.44E-05,yes
210000000,3,940,224,627,0.5,7800.035811,45.44699586,0.3205543458,0.2618160708,-7.87E-05,3838298.829,4.09E-05,1.05E-05,yes
210000000,3,940,224,627,0.5,129641.8681,52.70373062,0.3520848299,0.2132929341,-0.001294202581,63451356.1,2.74E-05,8.49E-06,yes
210000000,3,940,224,627,0.5,187640.2099,59.00529877,0.3756897909,0.1835645145,-0.001852833763,91829361.62,1.98E-05,7.36E-06,yes
210000000,3,940,224,627,0.5,41605.45772,40.67595106,0.3911111924,0.1268563527,-0.0004064112573,20374820.78,1.19E-05,5.10E-06,yes
210000000,3,940,224,627,0.5,-375707.244,14.04475491,0.3978897409,0.03789250226,0.003630948495,-183802935.1,3.51E-06,1.55E-06,yes
210000000,3,940,224,627,0.5,-689993.6076,-21.33475928,0.3956769938,-0.07027723422,0.006598114311,-337580695.9,-2.80E-06,-2.79E-06,yes
210000000,3,940,224,627,0.5,-249897.6468,-76.68876496,0.3858112408,-0.3850990272,0.002364772176,-122296641.7,4.00E-05,-1.53E-05,yes
210000000,3,940,224,627,0.5,360371.0661,3093.663026,1.002268734,-10,-0.003375021577,177820317.6,-0.000892798885,-0.0004000536368,yes
210000000,3,940,224,627,0.5,1362944.181,4891.200556,0.2457996709,-10,-0.01263427622,669195392.4,-0.00187716461,-0.0003999998677,yes
210000000,3,940,224,627,0.5,1145491.6,-2399.221997,0.1309149666,1.722985861,-0.01051126747,559242846.2,-0.0003524107734,6.94E-05,yes
210000000,3,940,224,627,0.5,44017.35126,59.07200853,-1.408307275,10,-0.0003998731822,21563807.86,-0.001781205209,0.0003999659419,yes
220000000,3,940,224,627,0.5,0,0,0,0,0,0,0,0,no
220000000,3,940,224,627,0.5,699.6831112,152.7682927,0.05766940864,0.5183578305,7.15E-05,417050.589,7.15E-05,2.07E-05,no
220000000,3,940,224,627,0.5,506.5341581,134.0597575,0.116946933,0.4963110425,5.18E-05,313402.1113,6.85E-05,1.99E-05,no
220000000,3,940,224,627,0.5,680.7721121,124.8079253,0.1729955779,0.4660746997,6.96E-05,394119.3921,6.41E-05,1.86E-05,no
220000000,3,940,224,627,0.5,531.1838228,112.5153404,0.2248829868,0.4265414377,5.43E-05,314921.3127,5.85E-05,1.71E-05,no
220000000,3,940,224,627,0.5,579.8151073,99.92472437,0.2715696123,0.3786607399,5.93E-05,332553.7337,5.16E-05,1.51E-05,no
220000000,3,940,224,627,0.5,424.8565955,81.61483516,0.3120775718,0.3229540605,4.34E-05,247784.4573,4.40E-05,1.29E-05,no
220000000,3,940,224,627,0.5,363.8461379,62.99570757,0.3455343202,0.2605435463,3.72E-05,208826.7346,3.52E-05,1.04E-05,no
220000000,3,940,224,627,0.5,253.8974326,43.66042056,0.3712081428,0.1925321221,2.59E-05,145576.2491,2.55E-05,7.71E-06,no
220000000,3,940,224,627,0.5,159.4693904,22.14672489,0.3885333116,0.1207470381,1.63E-05,88853.28538,1.54E-05,4.84E-06,no
220000000,3,940,224,627,0.5,60.68190492,1.029252001,0.3971283834,0.04628694968,6.20E-06,30191.36836,4.89E-06,1.87E-06,no
220000000,3,940,224,627,0.5,-39.95793427,-20.34295666,0.3969491544,-0.05314139935,-4.08E-06,-29501.41435,-5.79E-06,-2.13E-06,no
220000000,3,940,224,627,0.5,-144.6687615,-41.83081736,0.3876439432,-0.1279440776,-1.48E-05,-91242.45542,-1.63E-05,-5.10E-06,no
220000000,3,940,224,627,0.5,-238.0937189,-61.91210708,0.3696560216,-0.1991997482,-2.43E-05,-146773.8875,-2.64E-05,-7.95E-06,no
220000000,3,940,224,627,0.5,-332.4802897,-80.8033978,0.3433866559,-0.2663741476,-3.40E-05,-202193.5849,-3.59E-05,-1.06E-05,no
220000000,3,940,224,627,0.5,-421.1511105,-98.03507698,0.3094162101,-0.3279241034,-4.30E-05,-254004.9841,-4.46E-05,-1.31E-05,no
220000000,3,940,224,627,0.5,-503.734654,-113.1725106,0.2685026433,-0.3824388267,-5.15E-05,-301813.6813,-5.23E-05,-1.53E-05,no
220000000,3,940,224,627,0.5,-564.5604846,-125.4536309,0.2215621594,-0.4286332699,-5.77E-05,-337580.2914,-5.89E-05,-1.71E-05,no
220000000,3,940,224,627,0.5,-620.4836266,-135.4547677,0.1696474944,-0.465540049,-6.34E-05,-369832.8739,-6.40E-05,-1.86E-05,no
220000000,3,940,224,627,0.5,-651.8491705,-142.2935754,0.1139238121,-0.4922488792,-6.66E-05,-388523.8483,-6.78E-05,-1.97E-05,no
220000000,3,940,224,627,0.5,-678.1524975,-145.7181995,0.05564208284,-0.5081604736,-6.93E-05,-403067.8557,-7.02E-05,-2.03E-05,no
220000000,3,940,224,627,0.5,-688.1914601,-146.7990638,-0.003888886975,-0.5130165545,-7.03E-05,-408508.0841,-7.07E-05,-2.05E-05,no
220000000,3,940,224,627,0.5,-683.0346241,-143.5477152,-0.06333241062,-0.5065206787,-6.98E-05,-404394.4908,-6.99E-05,-2.03E-05,no
